"filename", "language", "JavaScript", "JSON", "Markdown", "TypeScript", "JSON with Comments", "Docker", "SQL", "YAML", "comment", "blank", "total"
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.delete.dto.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.query.dto.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.update.dto.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\entities\notice.entity.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 9, 31
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.controller.spec.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.controller.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 10, 59
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.service.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.service.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 1, 14, 66
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\dtos\outsider.create.dto.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\dtos\outsider.delete.dto.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\dtos\outsider.query.dto.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\dtos\outsider.update.dto.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\entities\outsider.entity.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 8, 28
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.controller.spec.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.controller.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 10, 65
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.service.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.service.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 14, 61
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\dtos\parking.create.dto.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
